id,category,images,name_lt,name_en,code,status,featured,new,material_lt,material_en,stones_lt,stones_en,sizes_lt,sizes_en,leadtime_lt,leadtime_en,description_lt,description_en
trys-pasirinkimai,rings,MYTG1376.JPG|PHRI5100.JPG|POMT3567.JPG|UTQC4256.JPG|BKIJ6345.JPG,Trys pasirinkimai,Three Choices,Z/062,soldOut,yes,,"Sidabras 925, Auksas 585","Silver 925, Gold 585","Citrinas, tsavoritas granatas","Citrine, tsavorite garnet",,,,,Kiekvienas žingsnis prasideda nuo minties ir pasirinkimo; šviesesnės mintys neša daugiau džiaugsmo.,Every step in life begins with a thought and a choice; brighter thoughts bring more joy.
uogos-naktyje,rings,OHJDE7035.JPG|OMDC8888.JPEG|TKVA0382.JPEG,Uogos naktyje,Berries at Night,Z/051,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Turmalinai,Tourmalines,,,,,Saldi ir žaisminga vasaros idėja — uogos naktyje.,A sweet and playful idea of summer — berries at night.
uogos-ametistai-peridotai,rings,CQTQ7819.JPG|MHLO8123.JPG,"Uogos (ametistai, peridotai)","Berries (Amethysts, Peridots)",,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold","Ametistai, peridotasai","Amethysts, peridots",,,,,"Saldi, žaisminga vasaros idėja — saulė, šiltas vėjas ir geriausi prisiminimai.","A sweet, playful idea of summer — sun, a warm breeze and the best memories."
uogos-oniksai-ametistai-turmalinai,rings,AYDJ8153.JPG|GULR0741.JPG|PALR1784.JPG,"Uogos (oniksai, ametistai, turmalinai)","Berries (Onyxes,yes, Tourmalines)",Z/046,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold","Ametistai, oniksai, turmalinai","Amethysts, onyxes, tourmalines",,,,,"Saldi, žaisminga vasaros idėja — saulė, šiltas vėjas ir geriausi prisiminimai.","A sweet, playful idea of summer — sun, a warm breeze and the best memories."
uogos-peridotai,rings,CSTK9172.JPG|EKST5959.JPG|EYAJ0530.JPG|IQFE9915.JPG|VUPW8859.JPG|YHBO0847.JPG,Uogos (peridotai),Berries (Peridots),,soldOut,yes,,"Sidabras 925, Auksas","Silver 925, Gold",Peridotasai,Peridots,,,,,Saldus ir žaismingas vasaros įkvėptas žiedas su peridotais.,A sweet and playful summer-inspired ring with peridots.
vakaro-dangus,rings,EKRE0353.JPG|XQUZ2394.JPG|LWRJ7149.JPG,Vakaro dangus,Evening Sky,,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",Ametistas,Amethyst,,,,,"Tarsi stebėtum vakaro dangų, nušviestą paskutinių saulės spindulių — romantiška ir svajinga.",Like watching the evening sky lit by the last rays of the sun — romantic and dreamy.
bangose,engagement,NPLH0546.JPG|LBWC5844.JPG|MNGZ5751.JPG,Bangosė,In Waves,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Granatas,Garnet,,,,,"Užkoduota žinutė — tai, kas lieka ir niekada nesikeičia.",An encoded message — that which remains and never changes.
barokas,engagement,VGWS2741.JPG|WOWN8142.JPG|RENJ5883.JPG,Barokas,Baroque,,soldOut,yes,,"Sidabras 925, Auksas","Silver 925, Gold",Ametistas,Amethyst,,,,,"Praeitis ir dabartis — pažadas į savo praeitį pažvelgti iš naujo, žinant, kad patirtis neįkainojama.","Past and present — a promise to look at one's past anew, knowing experience is invaluable."
besiskleidziantis-pavasaris,engagement,JPBJ3789.JPEG|PYBYE4944.JPG|TBNH6232.JPEG|SADDE6936.JPG|UCIJE1970.JPG|GHUB9190.JPEG|EXZCE7021.JPG|BSDS0387.JPEG,Besiskleidžiantis pavasaris,Blooming Spring,,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,"Du besiskleidžiantys pumpurai ant piršto — panašūs, bet skirtingi, visada kartu.","Two unfurling buds on a finger — similar yet different, always together."
kitaip,engagement,,Kitaip,Differently,,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,"Subtilus, kasdienis akcentas tingioms dienoms — elegancija be pastangų.","A subtle, everyday accent for lazy days — elegance without effort."
siekiai,engagement,IHOL5031.JPEG,Siekiai,Aspirations,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,Priminimas apie mūsų unikalumą — tobulai netobuli.,A reminder of our uniqueness — perfectly imperfect.
spalvotos-mintys,engagement,KKWP1933.JPG,Spalvotos mintys,Colourful Thoughts,,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,"Žaisminga, spalvinga, prasminga mintis, apgaubta amžinai spindinčio aukso.","A playful, colourful, meaningful thought embraced by eternally shining gold."
spalvotos-mintys-rozinis-rodolitas,engagement,BFYI7056.JPG|RCTJ3400.JPG|JKKV1353.JPG|KZVG1000.JPG,Spalvotos mintys (rožinis rodolitas),Colourful Thoughts (Pink Rhodolite),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Rodolitas,Rhodolite,,,,,"Žaisminga, prasminga mintis, apgaubta spindinčio aukso.","A playful, meaningful thought embraced by shining gold."
spalvotos-mintys-topazas,engagement,DXWH5141.JPG,Spalvotos mintys (topazas),Colourful Thoughts (Topaz),,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",Topazas,Topaz,,,,,"Žaisminga, prasminga mintis su mėlynu topazu, įsodintu amžinai spindinčiame aukse.","A playful, meaningful thought with a blue topaz set in eternally shining gold."
svajones,engagement,ERGF9671.JPG|OVYC2621.JPG,Svajonės,Dreams,Z/029,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold","Citrinai, cirkonis","Citrines, cubic zirconia",,,,,"Paslaptys, paskendusios beribėje naktyje — mūsų nesuskaičiuojamos svajonės.",Secrets submerged in endless night — our countless dreams.
spalvotos-uogos,rings,TDYK1987.JPG,Spalvotos uogos,Colourful Berries,,onRequest,,,,,,,,,,,"Žaismingas, spalvingas pakabukas — pažadas mėgautis kiekvienu gyvenimo atspalviu.","A playful, colourful pendant — a promise to savour each of life's hues."
unassigned1,earrings,DXLX7939.JPG|DWGL3973.JPG,Spalvos naktyje,Colors at night,,onRequest,,,Sidabras 925,Silver 925,Ametistai,Amethysts,,,,,"Dienos mintys virsta spalvotais sapnais, šį kartą paslėptais ametisto gilume.","Daytime thoughts turn into colorful dreams, this time hidden in the depth of amethyst."
peridotai-sidabre,earrings,WSLO8352.JPG|XLWD5806.JPG|PTOK9006.JPG,Peridotai sidabre,Peridots in silver,,onRequest,,,Sidabras 925,Silver 925,Peridotai,Peridots,,,,,Peridotai sidabro lopinėliuose – tylus žalumos užrašas.,Peridots set in silver — a quiet note of green.
earring-7,earrings,UIDI3815.JPG|QPQO2961.JPG,Pavasario vaiskumas,The clearness of spring,,onRequest,,,Silver 925,Silver 925,Peridot,Peridot,,,,,Organiška forma ir peridoto gaivus vaiskumas.,Organic shape and the fresh brightness of peridot.
ring-1,rings,VGYG3526.JPG|NLIK2717.JPG|LMOV6933.JPG|RZHP7534.JPG|EZQN0458.JPG,Paslėptos svajonės,Hidden dreams,,onRequest,,,"Silver 925, gold","Silver 925, gold",Ametrine,Ametrine,,,,,"Besikeičianti, įvairialypė asmenybė, įamžinta keičiančiame spalvą akmenyje.","A changing, multifaceted personality, immortalized in a color-changing stone."
ring-2,rings,FNQO4907.JPG|EUFK4215.JPG|DJFN7978.JPG|USZW7228.JPG,Pumpurėliai,Buds,,onRequest,,,"Silver 925, gold","Silver 925, gold",Iolite,Iolite,,,,,"Pabirę ir chaotiški, tarsi pumpurėliai apkibę iš po žiemos bundantį medį.","Scattered and chaotic, like little buds clinging to a tree awakening from winter."
ring-3,rings,OXEC1188.JPG|NJYWE7094.JPG|CKFL0423.JPEG,Spalvų vainikėlis,Wreath of colors,,onRequest,,,Silver 925,Silver 925,"Topaz, iolite or tourmaline","Topaz, iolite or tourmaline",,,,,Žaismingai pabirę akmenėliai.,Playfully scattered pebbles.
ring-5,rings,GWOR7535.JPEG|BYOEE2686.JPG|DRAB4844.JPEG|TCQL7440.JPG,Spalvų vainikėlis,Wreath of colors,,onRequest,,,Silver 925,Silver 925,Topaz or tourmaline,Topaz or tourmaline,,,,,Žaismingai pabirę akmenėliai.,Playfully scattered pebbles.
ring-6,rings,NEIV8493.JPG|MIVI4604.JPG|HTNH7002.JPG|LMQU4182.JPG,Medžio siela,The soul of the tree,,onRequest,,,"Silver 925, gold","Silver 925, gold",Ametrine,Ametrine,,,,,Grubioje medžio tekstūroje pasislėpęs tyrumas.,Purity hidden in the rough texture of wood.
ring-7,rings,GXZN8277.JPG,Spalvotos pasakos,Colorful fairy tales,,onRequest,,,"Silver 925, gold","Silver 925, gold",Opal,Opal,,,,,"Chaotiškai pabirę opalo akmenys, spalvoti ir paslaptingi kaip užmiršta pasaka.","Chaotically scattered opal stones, colorful and mysterious like a forgotten fairy tale."
earring-2,earrings,NYOT6592.JPG|SPNQ3262.JPG,Naktinė žvaigždė,Night star,,onRequest,,,"Silver 925, gold","Silver 925, gold",Amethyst,Amethyst,,,,,Šilkine naktimi apvilkta svajonė...,A dream dressed in a silky night...
earring-3,earrings,JTPU1824.JPEG,Spalvos,Colors,,onRequest,,,"Silver 925, gold","Silver 925, gold","Onyx, labradorite","Onyx, labradorite",,,,,"Įvairūs, žaismingi ir pilni džiaugsmo.","Various, playful, and full of joy."
earring-4,earrings,WQISE4927.JPG|IZDC9555.JPG,Įvairiaspalvės gėlės,Multicolored flowers,,onRequest,,,Silver 925,Silver 925,"Rhodolite, topaz or other","Rhodolite, topaz or other",,,,,Subtili ir neįpareigojanti įvairiaspalvių gėlių kompozicija.,A subtle and unassuming composition of colorful flowers.
ring-8,rings,WPNK3037.JPG,Spalvos ir tekstūra,Colors and texture,,onRequest,,,"Silver 925, gold","Silver 925, gold",Garnet,Garnet,,,,,Spalvos ir tekstūrų sankirta.,The intersection of colors and textures.
ring-9,rings,CLWO6017.JPG|EMDP9600.JPG,Pasirinkimai,Choices,,onRequest,,,"Silver 925, gold","Silver 925, gold",Various,Various,,,,,"Nedidelis, spalvotas akcentas.","A small, colorful accent."
pendants-1,pendants,DKIV8831.JPEG,Šeima,Family,,onRequest,,,"Silver, gold","Silver, gold",Various,Various,,,,,Šeima - tai meilės ryšys.,Family is a bond of love.
ring-10,rings,JHJY1419.JPG,Pasirinkimas būti,The choice to be,,onRequest,,,"Silver 925, gold","Silver 925, gold",Garnet or other,Garnet or other,,,,,Pasirinkimas būti čia ir dabar...,The choice to be here and now.
ring-11,rings,NOLG9703.JPEG|CSOZE2730.JPG,Pabirę burbulai,Scattered bubbles,,onRequest,,,"Silver 925, gold","Silver 925, gold",,,,,,,"Pabirę, žaismingi burbulai, dovanojantys šypseną kiekvieną dieną.","Scattered, playful bubbles, giving a smile every day."
earring-5,earrings,CEVI9188.JPG,Trys pasirinkimai,Three choices,,onRequest,,,"Silver 925, gold","Silver 925, gold",Iolite,Iolite,,,,,"Pasirinkimas bendrauti, pasirinkimas būti su savimi, pasirinkimas jausti...","The choice to communicate, the choice to be with oneself, the choice to feel..."
ring-12,rings,LAHVE6558.JPG,Žiežirba vėjyje,Spark in the wind,,onRequest,,,"Silver 925, gold","Silver 925, gold",Garnet,Garnet,,,,,"Netikėta mintis, blykstelėjusi idėja, naujai užgimęs jausmas...","An unexpected thought, a flashed idea, a newly born feeling..."
earring-6,earrings,GKUE8751.JPG|ADDI7571.JPG,Be pavadinimo 19,Untitled 19,,onRequest,,,,,,,,,,,,
ring-13,rings,XTIL7961.JPG,Be pavadinimo 20,Untitled 20,,onRequest,,,,,,,,,,,,
aitvarai,earrings,,Aitvarai,Kites,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Labradoritas,Labradorite,,,,,"Svajonė, kad aitvaras pakyla į žydrą dangų — vis kažkur tarp debesų.","A dream that a kite flies into the blue sky, always somewhere in the clouds."
akmenys,earrings,,Akmenys,Stones,,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,"Vandens nugludinti akmenukai, įkūnijantys ramybę ir amžiną gamtą.",Water-polished pebbles embodying tranquillity and eternal nature.
atvira-sirdis,earrings,,Atvira širdis,Open Heart,,soldOut,,,Sidabras 925,Silver 925,Topazas,Topaz,,,,,"Drąsa, pasitikėjimas ir noras bet kokia kaina likti tikram.","Courage, trust, and the desire to remain authentic at any cost."
drugelis-mieste,earrings,,Drugelis mieste,Butterfly in the City,,onRequest,,,Sidabras 925,Silver 925,,,,,,,"Mažas priminimas stabtelėti ir pastebėti tai, kas gražu, amžina ir prasminga.","A small reminder to stop and notice what is beautiful, eternal and meaningful."
geletas,earrings,,Gėlėtas,Flowery,Au/0125,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Gėlėta naktis, pilna kvepiančių svajonių, tarsi pavasariniai obelų žiedai.","A flowery night full of fragrant dreams, like spring apple blossoms."
mazi-akcentai-topazas,earrings,,Maži akcentai (topazas),Small Accents (Topaz),Au/0130,soldOut,,,Sidabras 925,Silver 925,Topazas,Topaz,,,,,"Maži, pasitikėjimo suteikiantys akcentai su paslėpta švelniai žydra paslaptimi.","Small confidence-giving accents with a hidden, gently blue secret."
mazi-akcentai-tsavoritas,earrings,,Maži akcentai (tsavoritas),Small Accents (Tsavorite),Au/0128,soldOut,,,Sidabras 925,Silver 925,Granatas (tsavoritas),Garnet (tsavorite),,,,,"Maži, pasitikėjimo suteikiantys akcentai su paslėpta paslaptimi.",Small confidence-giving accents with a hidden secret.
pasirinkimai,earrings,,Pasirinkimai,Choices,Au/0135,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,"Pasirinkti, kaip praleisti dieną — jos tamsias akimirkas ir mažas malonias detales.","Choosing how to spend the day — its dark moments and small, pleasant details."
praamziai-mazi,earrings,,Praamžiai (maži),Primeval (small),Au/0138,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Kelionė į praeitį, į akmens amžių — grubios, nenudailintos saulė ir mėnulis.","A journey into the past, to the stone age — raw, unpolished sun and moon."
praamziai-mazi-juodi,earrings,,"Praamžiai (maži, juodi)","Primeval (small, black)",Au/0137,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Kelionė į akmens amžių — grubios, nenudailintos saulės ir mėnulio formos.","A journey to the stone age, with raw unpolished forms of sun and moon."
ryto-migloje,earrings,,Ryto migloje,In the Morning Mist,Au/0123,soldOut,,,Sidabras 925,Silver 925,Cirkonis,Cz,,,,,"Gėlėta svajonė, tarsi pavasariniai obelų žiedai ryto migloje.","A floral dream, like spring apple blossoms in the morning mist."
sirdys-olivinai,earrings,,Širdys (olivinai),Hearts (Olivine),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Olivinas,Olivine,,,,,"Subtilūs, ažūriniai auskarai, spinduliuojantys eleganciją, kuri niekada nelieka nepastebėta.","Delicate, openwork earrings radiating elegance that never goes unnoticed."
sirdys-topazas,earrings,,Širdys (topazas),Hearts (Topaz),,onRequest,,,,,Topazas,Topaz,,,,,"Subtilūs, ažūriniai auskarai, spinduliuojantys eleganciją.","Delicate, openwork earrings radiating elegance."
svajone-naktyje,earrings,,Svajonė naktyje,Dream at Night,"Au/0129, Au/0139",soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,"Auksinė svajonė, ryškiai spindinti naktį, švytinti tarsi saulė.","A golden dream shining brightly at night, radiant like the sun."
taskai,earrings,,Taškai,Dots,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,"Auksinis taškas — svarbiausia dienos užduotis arba mintys, kurių neįmanoma pamiršti.","A gold dot — the day's most important task, or thoughts that can't be forgotten."
taskas,earrings,,Taškas,Dot,,onRequest,,,Sidabras 925,Silver 925,,,,,,,"Apvalūs, faktūruoti auskarai, suteikiantys charakterio kasdienai.",Round textured earrings that add character to everyday wear.
taskas-kvadrate,earrings,,Taškas kvadrate,Dot in Square,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,"Žaisminga forma, sukurta iš sidabro ir aukso.",A playful form crafted in silver and gold.
tekstura-formoje,earrings,,Tekstūra formoje,Textured Form,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,Netobulai apvali forma su ryškia faktūra; raudono aukso grandinėlė pabrėžia sidabro spindesį.,An imperfectly round shape with striking texture; a red-gold chain highlights the silver.
trys-norai,earrings,,Trys norai,Three Wishes,Au/0134,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,Kiekviena diena gali prasidėti nuo trijų norų išsipildymo — pačių svarbiausių.,Each day can begin with the fulfilment of three wishes — the most important ones.
vandenyno-gelme,earrings,,Vandenyno gelmė,Ocean Depths,Au/0132,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",Topazas,Topaz,,,,,"Tamsiai mėlynos vandenyno gelmės, slepiančios paslaptis, dovanojančios ramybę ir pasitikėjimą.","Dark-blue ocean depths concealing secrets, offering peace and self-confidence."
zinija,earrings,,Žinija,Žinija,,onRequest,,,Sidabras 925,Silver 925,,,,,,,Augalinis motyvas sidabre.,A botanical motif in silver.
audra,rings,,Audra,Storm,Z/064,onRequest,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",Labradoritas,Labradorite,,,,,Tarsi žaibas audringą dieną — pilna neišsenkančios energijos.,"Like a lightning flash on a stormy day, full of inexhaustible energy."
kitu-kampu,rings,,Kitu kampu,From Another Angle,Z/035,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Topazas,Topaz,,,,,Viskas priklauso nuo mūsų požiūrio — kaip žvelgiame į pasaulį.,Everything depends on our perspective — how we look at the world.
pienes-pukas-naktyje,rings,,Pienės pūkas naktyje,Dandelion at Night,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Citrinas,Citrine,,,,,Įkvėpta švelnaus pienės pūko žaismės naktyje.,Inspired by the gentle playfulness of dandelion fluff at night.
upes-dugne,rings,,Upės dugne,At the River Bottom,,onRequest,,,,,,,,,,,"Užkoduota žinutė — tai, kas lieka ir niekada nesikeičia.",An encoded message — that which remains and never changes.
saule,engagement,,Saulė,Sun,,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",Citrinas,Citrine,,,,,"Gyvenimo pradžia ir niekada nesibaigianti energija — saulė, pilna šilumos ir džiaugsmo.","Life's beginning and never-ending energy — the sun, full of warmth and joy."
spalvotos-mintys-granatas,engagement,,Spalvotos mintys (granatas),Colourful Thoughts (Green Garnet),,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",Granatas,Garnet,,,,,"Žaisminga, spalvinga mintis, pilna prasmės, apgaubta žėrinčio aukso.","A playful, colourful thought full of meaning, embraced by shimmering gold."
amzinai-zydinti,pendants,,Amžinai žydinti,Eternally Blooming,,soldOut,,,"Sidabras 925, Auksas, sintetinis safyras","Silver 925, Gold, synthetic sapphire",Sintetinis safyras,Synthetic sapphire,,,,,"Maža lauko gėlė — subtili, pastebima nepaisant kuklaus dydžio.","A small wildflower — delicate, noticeable despite its modest size."
amzinai-zydinti-granatas,pendants,,Amžinai žydinti (granatas),Eternally Blooming (Garnet),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Granatas,Garnet,,,,,Subtilus lauko gėlės pakabukas su granatu.,A delicate wildflower pendant with a garnet.
amzinai-zydinti-rodolitas,pendants,,Amžinai žydinti (rodolitas),Eternally Blooming (Rhodolite),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Rodolitas,Rhodolite,,,,,Mažas lauko gėlės pakabukas — subtilus ir visada pastebimas.,A small wildflower pendant — delicate and always noticeable.
amzinai-zydintitamsiai-melyna,pendants,,Amžinai žydinti (tamsiai mėlyna),Eternally Blooming (Dark Blue),,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Maža laukinės pievos gėlė — graži, kiek užgaidi, visada pastebima.","A small flower of the wild meadow — beautiful, a little capricious, always noticed."
amzinai-zydinti-topazas,pendants,,Amžinai žydinti (topazas),Eternally Blooming (Topaz),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Topazas,Topaz,,,,,"Maža laukinės pievos gėlė — maža, bet visada pastebima.",A small flower of the wild meadow — small yet always noticeable.
besisukancios-spalvos,pendants,,Besisukančios spalvos,Rotating Colours,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Turmalinai,Tourmalines,,,,,"Niekas nestovi vietoje — tarsi mažas amžinybės žiedas, niekada nesustojantis.","Nothing stays still — like a small eternity ring, never stopping."
besisukanti-amzinybe-granatai,pendants,,Besisukanti amžinybė (granatai),Spinning Eternity (Garnets),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Granatai,Garnets,,,,,"Besisukantis ratas, simbolizuojantis nuolatinę kaitą ir judėjimą.",A rotating circle symbolising constant change and movement.
besisukanti-amzinybe-olivinai,pendants,,Besisukanti amžinybė (olivinai),Spinning Eternity (Olivine),,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",Olivinas,Olivine,,,,,"Pakabukas, simbolizuojantis nuolatinę kaitą — amžinai besisukantis ratas.",A pendant symbolising constant change — an eternal spinning circle.
besisukantis-turmalinai,pendants,,Besisukantis (turmalinai),Rotating (Tourmalines),,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Turmalinai,Tourmalines,,,,,"Mažas amžinas ratas, niekada nesustojantis.","A small eternal circle, never stopping."
flamingai,pendants,,Flamingai,Flamingos,,onRequest,,,,,,,,,,,"Rožiniai, grakštūs paukščiai, simbolizuojantys meilę, laimę ir draugystę.","Pink, graceful birds symbolising love, happiness and friendship."
saule-ir-zvaigzdynai,pendants,,Saulė ir žvaigždynai,Sun and Constellations,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Citrinas,Citrine,,,,,"Šilta, spindinti saulė, apsupta begalinių žvaigždžių — kasdienė energija.","A warm, radiant sun surrounded by endless stars — daily energy."
seima-dviese-citrinas-cirkonis,pendants,,"Šeima – dviese (citrinas, cirkonis)","Family of Two (Citrine, Zirconium)",,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585","Citrinas, cirkonis","Citrine, cubic zirconia",,,,,"Pakabukas, simbolizuojantis šeimos ryšius — neškis mylimus žmones visur su savimi.",A pendant symbolising family bonds — carry loved ones everywhere.
seima-keturiese-rodolitas-granatas,pendants,,"Šeima – keturiese (rodolitas, granatas)","Family of Four (Rhodolite, Garnet)",,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585","Rodolitas, granatas","Rhodolite, garnet",,,,,Šeima — tai pirmiausia meilė ir rūpestis — būdas neštis mylimus žmones su savimi.,Family is first of all love and care — a way to carry loved ones with you.
